ALERT SENT: 🟢 LONG机会 | ETH $$2173.05 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2166.77 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2163.29 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2169.01 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2161.33 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2169.98 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2171.79 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2160.21 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2165.72 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2163.0 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2162.99 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2163.06 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2173.7 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2172.42 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2168.14 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2164.84 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2165.56 回到支撑区 (2150, 2200)
ALERT SENT: 🟢 LONG机会 | ETH $$2165.37 回到支撑区 (2150, 2200)
